Food items,Units,Units,Remarks,Source,,,,,,,,,
"Cucumber, raw",1cup,120g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103352/portions,,,,,,,,,
"Gourd, white-flowered (calabash), raw",0.5cup,58g,using for bottle gourd,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169232/measures,,,,,,,,,
"Watercress, raw",1cup,34g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170068/measures,,,,,,,,,
"Onions, spring or scallions (raw)",1cup,100g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170005/measures,,,,,,,,,
"Celery, raw",1cup,101g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169988/measures,,,,,,,,,
"Garlic, raw",1cup,136g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169230/measures,,,,,,,,,
"Coriander (cilantro) leaves, raw",0.25cup,4g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169997/measures,,,,,,,,,
Fenugreek leaves,0.25cup,4g,same as coriander leaves,,,,,,,,,,
Mint leaves,0.25cup,4g,same as coriander leaves,,,,,,,,,,
"Peppermint, fresh",2tbsp,3.2g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173474/measures,,,,,,,,,
"Onions, raw (chopped)",1cup,160g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170000/measures,,,,,,,,,
"Peppers, sweet, green, raw",1cup,149g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170427/measures,,,,,,,,,
Jalapeno,1cup,90g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168576/measures,,,,,,,,,
"Kale, raw",1cup,20.6g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/323505/measures,,,,,,,,,
"Cabbage, raw (Chopped)",1cup,89g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169975/measures,,,,,,,,,
"Cabbage, raw (Shredded)",1cup,70g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169975/measures,,,,,,,,,
"Lettuce, raw (Shredded)",1cup,36g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169249/measures,,,,,,,,,
"Green beans, raw",1cup,100g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103337/portions,,,,,,,,,
"Peas, green, raw",1cup,145g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170419/measures,,,,,,,,,
"Peas, green, frozen, unprepared",1cup,134g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170016/measures,,,,,,,,,
Carrot,1cup,128g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170393/measures,,,,,,,,,
Radish,1cup,116g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169276/measures,,,,,,,,,
"Tomatoes, raw/ripe",1cup,180g,same weight for raw and ripe,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103276/portions,,,,,,,,,
"Shallots, raw",1cup,160g,,https://www.aqua-calc.com/calculate/food-volume-to-weight/substance/shallots-coma-and-blank-raw-blank--op-chopped-cp-,,,,,,,,,
Ginger,1cup,96g,,https://www.aqua-calc.com/calculate/food-volume-to-weight/substance/ginger-blank-root-coma-and-blank-raw,,,,,,,,,
Cumin seeds,1cup,96g,,https://www.aqua-calc.com/calculate/food-volume-to-weight/substance/spices-coma-and-blank-cumin-blank-seed-blank--op-whole-cp-,,,,,,,,,
Coriander seeds,1cup,80g,,https://www.aqua-calc.com/calculate/food-volume-to-weight/substance/spices-coma-and-blank-coriander-blank-seed,,,,,,,,,
"Sweet potato, raw",1cup,133g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168482/measures,,,,,,,,,
"Kidney beans, raw",1cup,184g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173744/measures,,,,,,,,,
"Peas, raw",1cup,145g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170419/measures,,,,,,,,,
"Chickpeas, raw",1cup,200g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173756/measures,,,,,,,,,
"Bengal gram, raw",1 cup,200g,"used same as chickpeas (Chickpeas (garbanzo beans, bengal gram), mature seeds, raw)",https://fdc.nal.usda.gov/fdc-app.html#/food-details/173756/measures,,,,,,,,,
"Urad dal, raw",1cup,175g,,ASC manual,,,,,,,,,
Green gram,1cup,175g,,ASC manual,,,,,,,,,
Lentil (Masoor dal),1cup,175g,,ASC manual,,,,,,,,,
Red gram dal (Arhar dal),1cup,175g,,ASC manual,,,,,,,,,
Rice,1cup,160g,,BFP manual,,,,,,,,,
"Rice, puffed",1cup,30g,,ASC manual,,,,,,,,,
